iter	Logloss
0	0.5284290788
1	0.4116366577
2	0.35925563
3	0.314761901
4	0.2856476026
5	0.2610689233
6	0.2388067323
7	0.2203911669
8	0.2059254698
9	0.191176151
10	0.1812908937
11	0.1709236632
12	0.1635526994
13	0.1568431488
14	0.1499245529
15	0.1454344992
16	0.1391168553
17	0.1360964133
18	0.133232995
19	0.1291578655
20	0.1258945322
21	0.1238482025
22	0.1221100627
23	0.1195550029
24	0.1167907136
25	0.115685312
26	0.1136376697
27	0.1120216142
28	0.1107930039
29	0.1095477609
30	0.1079292182
31	0.1061060814
32	0.1052154977
33	0.1039457414
34	0.102683161
35	0.1010852613
36	0.100430054
37	0.09933617383
38	0.09845173611
39	0.09652348154
40	0.09548567726
41	0.09517547482
42	0.09379582345
43	0.09275438225
44	0.09234201112
45	0.09211985756
46	0.09075043591
47	0.08909268617
48	0.08787543356
49	0.08771941268
50	0.08668588186
51	0.08644099731
52	0.08575153705
53	0.08486170496
54	0.08461719811
55	0.08446675249
56	0.08366249213
57	0.08319483116
58	0.08302188729
59	0.08283308385
60	0.08236115114
61	0.08220650355
62	0.08201092093
63	0.08179570733
64	0.08141438365
65	0.08089873284
66	0.08060271653
67	0.08049283632
68	0.07986118857
69	0.07866837981
70	0.07852384417
71	0.07842259069
72	0.07754017623
73	0.07741468311
74	0.07695262398
75	0.07623548945
76	0.07615038725
77	0.07603054408
78	0.07567196976
79	0.07551966453
80	0.07520883292
81	0.0751010155
82	0.07408694163
83	0.07346627735
84	0.0731780688
85	0.07304692399
86	0.07293435421
87	0.0727985809
88	0.07247339133
89	0.07233596777
90	0.07220881953
91	0.07198016984
92	0.07159903639
93	0.07150419276
94	0.07143167454
95	0.07135597167
96	0.07128958626
97	0.07116193913
98	0.07108357519
99	0.07101412065
100	0.07090339847
101	0.0708330301
102	0.0707569021
103	0.07065274481
104	0.07001723573
105	0.06993962882
106	0.06974752363
107	0.06941701303
108	0.069311694
109	0.0689628243
110	0.06857237397
111	0.06847875279
112	0.06841708059
113	0.06831280095
114	0.06779113484
115	0.06760607898
116	0.06743223028
117	0.06723396458
118	0.06714197527
119	0.06706572248
120	0.06700282623
121	0.06680918459
122	0.06674901291
123	0.06662158203
124	0.06646356954
125	0.06624722714
126	0.06612181586
127	0.06602162642
128	0.06596244627
129	0.06593462941
130	0.06561081865
131	0.06550516672
132	0.06543060131
133	0.06530576085
134	0.06520036488
135	0.06502956609
136	0.06499734093
137	0.06491876711
138	0.06485138446
139	0.06466699677
140	0.06457787189
141	0.06450129289
142	0.06437169332
143	0.06422753772
144	0.06408561796
145	0.06402920458
146	0.06391502039
147	0.06384852339
148	0.06375725387
149	0.06370214772
150	0.06366115456
151	0.06362332641
152	0.06353447767
153	0.06349150346
154	0.06344790054
155	0.06340126308
156	0.06334598581
157	0.06325706734
158	0.06304911377
159	0.06290558085
160	0.06258321295
161	0.06252757155
162	0.06227695365
163	0.0621285754
164	0.06201993302
165	0.06194446684
166	0.06162690035
167	0.06154106902
168	0.06145454613
169	0.06141154794
170	0.06139111663
171	0.06130964629
172	0.06101804128
173	0.06097551153
174	0.06092687761
175	0.06087472106
176	0.06071059651
177	0.06062531992
178	0.06054658373
179	0.06050302021
180	0.0604395901
181	0.06036470118
182	0.06029684001
183	0.06022045595
184	0.06016829045
185	0.06000284504
186	0.05987995947
187	0.05982514325
188	0.05970271972
189	0.0596586772
190	0.05953396208
191	0.05948114858
192	0.05942451348
193	0.05937270179
194	0.05930691609
195	0.05923035365
196	0.05918573667
197	0.05913585291
198	0.05908588652
199	0.05900270916
200	0.05894029363
201	0.05891628098
202	0.05884216608
203	0.05878163776
204	0.05868593757
205	0.05864616084
206	0.05857363612
207	0.05850985384
208	0.05845629354
209	0.05834029576
210	0.05823000842
211	0.05811493189
212	0.05805536779
213	0.05800905746
214	0.05795540351
215	0.05786294125
216	0.05781377694
217	0.05761913934
218	0.05757840299
219	0.05751870474
220	0.0574078491
221	0.05733387367
222	0.05725764501
223	0.05720207873
224	0.05710843531
225	0.05700762216
226	0.05694948277
227	0.05690724756
228	0.05688205701
229	0.05682943378
230	0.05679680094
